|-----------|---------|------|--------------------|---------------------|---------|------------|--------------|-----------|-------|-----------|---------------------|------------|------------|------------------------------------|---------------|----------------|--------------|----------------|-------------|----------------|--------|---------------|-------------------|
| Make      | Model   | Year | Engine_Size_Liters | Fuel_Efficiency_MPG | Mileage | Horsepower | Transmission | Fuel_Type | Color | Price_USD | Condition           | Drivetrain | Num_Owners | Features                           | Safety_Rating | Warranty_Years | Market_Price | Dealer_Name    | Location    | Seller_Type    | Rating | Car_Size      | Screen_Resolution |
|-----------|---------|------|--------------------|---------------------|---------|------------|--------------|-----------|-------|-----------|---------------------|------------|------------|------------------------------------|---------------|----------------|--------------|----------------|-------------|----------------|--------|---------------|-------------------|
| Ford      | Corolla | 2012 |                2.5 |                  34 |   45853 |        293 | Automatic    | Diesel    | Red   |     44901 | Used                | FWD        |          1 | ['Leather Seats', 'Navigation']    |           2.6 |              4 |        25011 | Best Cars Inc. | Los Angeles | Dealership     |    5.0 | 163x67 inches | 3435x1431         |
|-----------|---------|------|--------------------|---------------------|---------|------------|--------------|-----------|-------|-----------|---------------------|------------|------------|------------------------------------|---------------|----------------|--------------|----------------|-------------|----------------|--------|---------------|-------------------|
| Ford      | Camry   | 2012 |                3.4 |                  40 |   95449 |        466 | Manual       | Gasoline  | Blue  |     18739 | New                 | AWD        |          2 | ['Navigation', 'Backup Camera']    |           3.7 |              0 |        16084 | ABC Auto       | New York    | Private Seller |    5.0 | 183x80 inches | 2112x1663         |
|-----------|---------|------|--------------------|---------------------|---------|------------|--------------|-----------|-------|-----------|---------------------|------------|------------|------------------------------------|---------------|----------------|--------------|----------------|-------------|----------------|--------|---------------|-------------------|
| Ford      | Corolla | 2011 |               1.37 |                  40 |   50194 |        448 | Automatic    | Diesel    | Blue  |     39122 | Used                | RWD        |          4 | ['Bluetooth', 'Navigation']        |           2.6 |              2 |        66054 | Best Cars Inc. | Los Angeles | Private Seller |    4.4 | 164x67 inches | 2794x1684         |
|-----------|---------|------|--------------------|---------------------|---------|------------|--------------|-----------|-------|-----------|---------------------|------------|------------|------------------------------------|---------------|----------------|--------------|----------------|-------------|----------------|--------|---------------|-------------------|
| Honda     | F-150   | 2011 |               2.33 |                  26 |   17308 |        362 | Automatic    | Hybrid    | Black |     59241 | Certified Pre-Owned | FWD        |          3 | ['Navigation', 'Backup Camera']    |           4.3 |              0 |        43659 | Best Cars Inc. | New York    | Private Seller |    4.6 | 200x66 inches | 2041x2054         |
|-----------|---------|------|--------------------|---------------------|---------|------------|--------------|-----------|-------|-----------|---------------------|------------|------------|------------------------------------|---------------|----------------|--------------|----------------|-------------|----------------|--------|---------------|-------------------|
| Ford      | Civic   | 2008 |               3.31 |                  33 |   20775 |        139 | Manual       | Hybrid    | Blue  |     14060 | Certified Pre-Owned | RWD        |          3 | ['Bluetooth', 'Navigation']        |           3.6 |              0 |        48428 | XYZ Motors     | Miami       | Dealership     |    4.1 | 164x79 inches | 3387x1698         |
|-----------|---------|------|--------------------|---------------------|---------|------------|--------------|-----------|-------|-----------|---------------------|------------|------------|------------------------------------|---------------|----------------|--------------|----------------|-------------|----------------|--------|---------------|-------------------|
| Ford      | F-150   | 2009 |               1.86 |                  30 |   49440 |        245 | Manual       | Diesel    | Blue  |     57636 | Certified Pre-Owned | FWD        |          3 | ['Backup Camera', 'Navigation']    |           3.0 |              5 |        64569 | XYZ Motors     | Chicago     | Dealership     |    3.2 | 177x77 inches | 3646x1023         |

|-----------|---------|------|--------------------|---------------------|---------|------------|--------------|-----------|-------|-----------|---------------------|------------|------------|------------------------------------|---------------|----------------|--------------|----------------|-------------|----------------|--------|---------------|-------------------|
| Toyota    | Camry   | 2004 |               1.31 |                  36 |   45883 |        358 | Manual       | Hybrid    | White |     59674 | Certified Pre-Owned | RWD        |          2 | ['Backup Camera', 'Bluetooth']     |           3.1 |              2 |        42540 | XYZ Motors     | Los Angeles | Private Seller |    4.3 | 171x69 inches | 1809x1707         |
